ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline	Adopter Category
========================================================================================================================
1	5-10 hours per week (1 course)	$6,000-$8,000	No	3-5 years or flexible	Early Majority
2	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
3	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
4	15-20 hours per week (2 courses)	$8,000-$12,000	No	3-5 years or flexible	Innovator
5	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Majority
6	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years	Early Adopter
7	15-20 hours per week (2 courses)	$8,000-$12,000	No	3-5 years or flexible	Innovator
8	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
9	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years	Innovator
10	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Early Adopter
11	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Early Adopter
12	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Adopter
13	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
14	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Majority
15	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years	Early Adopter
16	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Adopter
17	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years	Early Majority
18	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
19	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Early Adopter
20	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Adopter
21	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Adopter
22	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
23	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
24	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years	Early Majority
25	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
26	10-15 hours per week	$6,000-$8,000	No	2-3 years	Innovator
27	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
28	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years	Early Adopter
29	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
30	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Adopter
31	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
32	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Innovator
33	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
34	15-20 hours per week (2 courses)	$10,000-$12,000	No	2-3 years	Early Adopter
35	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
36	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
37	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years	Early Majority
