ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level	Time Commitment	Adopter Category
1	Working Professional Considering Graduate Degrees	52	Prefer not to say	Germany	Accountant	UX Design	$70k–$90k	Bachelor's	5-10 hours per week (1 course)	Early Majority
2	Working Professional Considering Graduate Degrees	50	Prefer not to say	India	Teacher	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
3	Career Changer / Adult Learner	38	Prefer not to say	India	Marketing Specialist	Public Policy	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
4	Working Professional Considering Graduate Degrees	40	Female	US	Software Engineer	Healthcare Administration	$90k–$120k	Master's	15-20 hours per week (2 courses)	Innovator
5	Working Professional Considering Graduate Degrees	48	Non-binary	Australia	HR Coordinator	UX Design	$120k+	Associate	10-15 hours per week	Early Majority
6	Career Changer / Adult Learner	31	Prefer not to say	US	Software Engineer	Cybersecurity	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Adopter
7	Working Professional Considering Graduate Degrees	41	Male	US	Technician	UX Design	$90k–$120k	Master's	15-20 hours per week (2 courses)	Innovator
8	Working Professional Considering Graduate Degrees	55	Female	UK	Marketing Specialist	Data Science	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
9	Career Changer / Adult Learner	28	Non-binary	US	Marketing Specialist	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Innovator
10	Career Changer / Adult Learner	43	Prefer not to say	India	Nurse	MBA	$70k–$90k	Bachelor's	10-15 hours per week	Early Adopter
11	Career Changer / Adult Learner	43	Prefer not to say	US	HR Coordinator	Public Policy	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
12	Career Changer / Adult Learner	44	Non-binary	Germany	Technician	Public Policy	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
13	Working Professional Considering Graduate Degrees	43	Male	UK	Marketing Specialist	Cybersecurity	$90k–$120k	Associate	10-15 hours per week	Early Adopter
14	Career Changer / Adult Learner	54	Female	India	Accountant	MBA	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Majority
15	Working Professional Considering Graduate Degrees	29	Male	UK	Sales Manager	Healthcare Administration	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Adopter
16	Career Changer / Adult Learner	52	Female	Australia	Sales Manager	MBA	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
17	Career Changer / Adult Learner	53	Prefer not to say	US	Technician	UX Design	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Majority
18	Career Changer / Adult Learner	47	Prefer not to say	Canada	HR Coordinator	MBA	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
19	Career Changer / Adult Learner	29	Prefer not to say	India	Nurse	MBA	$70k–$90k	Some College	10-15 hours per week	Early Adopter
20	Working Professional Considering Graduate Degrees	43	Female	Germany	Accountant	Finance	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
21	Working Professional Considering Graduate Degrees	42	Male	Australia	Accountant	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
