ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline
====================================================================================================
1	5-10 hours per week (1 course)	$6,000-$8,000	No	3-5 years or flexible
2	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
3	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
4	15-20 hours per week (2 courses)	$8,000-$12,000	No	3-5 years or flexible
5	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
6	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years
7	15-20 hours per week (2 courses)	$8,000-$12,000	No	3-5 years or flexible
8	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
9	5-10 hours per week (part-time)	$2,000-$4,000	Yes	1-2 years
10	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
11	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
12	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years
13	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible
14	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years
15	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
16	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
17	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
18	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
19	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
20	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
21	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
22	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
23	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
24	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years
25	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible
26	10-15 hours per week	$5,000-$8,000	No	2-3 years
27	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
28	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years
29	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
30	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
31	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
32	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
33	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
34	15-20 hours per week (2 courses)	$10,000-$12,000	No	2-3 years
35	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible
36	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
37	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years
38	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years
39	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
40	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
41	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
42	10-15 hours per week	$12,000-$15,000	Yes	2-3 years
43	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
44	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
45	10-15 hours per week	$12,000-$15,000	Yes	2-3 years
46	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	3-5 years
47	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible
48	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible
49	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
50	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
51	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
52	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
53	15-20 hours per week (2 courses)	$10,000-$15,000	No	2-3 years
54	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
55	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years
56	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years
57	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
58	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years
59	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
60	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	3-5 years
61	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
62	10-15 hours per week	$10,000-$15,000	No	2-3 years
63	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
64	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
65	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
66	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
67	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
68	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years
69	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years
70	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
71	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible
72	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
73	10-15 hours per week	$10,000-$12,000	No	2-3 years
74	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
75	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years
76	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years
77	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
78	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
79	15-20 hours per week (2 courses)	$8,000-$12,000	No	3-5 years or flexible
80	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	1-2 years
81	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years
82	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
83	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years
84	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible
85	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
86	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
87	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
88	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
89	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
90	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
91	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
92	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
93	10-15 hours per week	$10,000-$15,000	Yes	3-5 years
94	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
95	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
96	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
97	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
98	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
99	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years
100	5-10 hours per week (part-time)	$6,000-$8,000	No	3-5 years or flexible
101	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible
102	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
103	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
104	10-15 hours per week	$5,000-$8,000	No	2-3 years
105	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years
106	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible
107	10-15 hours per week	$6,000-$8,000	No	2-3 years
108	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
109	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
110	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
111	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years
112	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
113	15-20 hours per week (2 courses)	$8,000-$12,000	Yes	2-3 years
114	10-15 hours per week	$8,000-$12,000	Yes	1-2 years
115	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
116	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
117	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years
118	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
119	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
120	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
121	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
122	20+ hours per week (full-time)	$10,000-$12,000	No	2-3 years
123	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
124	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years
125	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
126	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
127	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
128	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
129	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible
130	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years
131	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
132	10-15 hours per week	$12,000-$15,000	No	2-3 years
133	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years
134	10-15 hours per week	$6,000-$8,000	Yes	2-3 years
135	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
136	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible
137	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
138	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
139	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
140	5-10 hours per week (part-time)	$5,000-$8,000	No	3-5 years or flexible
141	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years
142	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	1-2 years
143	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
144	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years
145	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible
146	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible
147	10-15 hours per week	$8,000-$12,000	No	2-3 years
148	5-10 hours per week (part-time)	$2,000-$4,000	Yes	1-2 years
149	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years
150	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible
151	15-20 hours per week (2 courses)	$12,000-$15,000	No	2-3 years
152	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years
153	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
154	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	3-5 years
155	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
156	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	2-3 years
157	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
158	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible
159	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible
160	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years
161	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
162	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
163	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible
164	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible
165	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible
166	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
167	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
168	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years
169	20+ hours per week (full-time)	$10,000-$12,000	Yes	1-2 years
170	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
171	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
172	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
173	10-15 hours per week	$6,000-$8,000	Yes	3-5 years
174	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
175	20+ hours per week (full-time)	$10,000-$15,000	Yes	2-3 years
176	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible
177	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible
178	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years
179	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
180	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years
181	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years
182	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
183	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
184	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible
185	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
186	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
187	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years
188	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
189	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
190	10-15 hours per week	$10,000-$15,000	Yes	1-2 years
191	10-15 hours per week	$8,000-$12,000	Yes	3-5 years
192	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years
193	10-15 hours per week	$12,000-$15,000	No	2-3 years
194	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
195	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
196	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
197	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
198	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years
199	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
200	10-15 hours per week	$12,000-$15,000	No	2-3 years
201	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
202	10-15 hours per week	$6,000-$8,000	No	2-3 years
203	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years
204	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible
205	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years
206	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years
207	10-15 hours per week	$6,000-$8,000	No	2-3 years
208	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
209	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
210	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years
211	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years
212	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
213	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years
214	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
215	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible
216	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible
217	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years
218	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years
219	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
220	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
221	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
222	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
223	20+ hours per week (full-time)	$8,000-$12,000	Yes	1-2 years
224	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
225	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
226	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
227	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years
228	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
229	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
230	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
231	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years
232	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
233	10-15 hours per week	$10,000-$15,000	Yes	2-3 years
234	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
235	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible
236	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible
237	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
238	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
239	5-10 hours per week (part-time)	$5,000-$8,000	No	3-5 years or flexible
240	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
241	10-15 hours per week	$6,000-$8,000	Yes	2-3 years
242	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
243	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
244	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible
245	10-15 hours per week	$12,000-$15,000	No	2-3 years
246	10-15 hours per week	$6,000-$8,000	Yes	3-5 years
247	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
248	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years
249	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
250	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible
251	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years
252	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years
253	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
254	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years
255	20+ hours per week (full-time)	$10,000-$15,000	No	2-3 years
256	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
257	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible
258	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
259	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible
260	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible
261	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years
262	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years
263	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
264	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years
265	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years
266	20+ hours per week (full-time)	$10,000-$12,000	Yes	2-3 years
267	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible
