ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level
1	Working Professional Considering Graduate Degrees	52	Prefer not to say	Germany	Accountant	UX Design	$70k–$90k	Bachelor's
2	Working Professional Considering Graduate Degrees	50	Prefer not to say	India	Teacher	Healthcare Administration	$30k–$50k	Bachelor's
3	Career Changer / Adult Learner	38	Prefer not to say	India	Marketing Specialist	Public Policy	$50k–$70k	Master's
4	Working Professional Considering Graduate Degrees	40	Female	US	Software Engineer	Healthcare Administration	$90k–$120k	Master's
5	Working Professional Considering Graduate Degrees	48	Non-binary	Australia	HR Coordinator	UX Design	$120k+	Associate
6	Career Changer / Adult Learner	31	Prefer not to say	US	Software Engineer	Cybersecurity	$70k–$90k	Some College
7	Working Professional Considering Graduate Degrees	41	Male	US	Technician	UX Design	$90k–$120k	Master's
8	Working Professional Considering Graduate Degrees	55	Female	UK	Marketing Specialist	Data Science	$50k–$70k	Associate
9	Career Changer / Adult Learner	28	Non-binary	US	Marketing Specialist	Data Science	$30k–$50k	Bachelor's
10	Career Changer / Adult Learner	43	Prefer not to say	India	Nurse	MBA	$70k–$90k	Bachelor's
11	Career Changer / Adult Learner	43	Prefer not to say	US	HR Coordinator	Public Policy	$70k–$90k	Associate
12	Career Changer / Adult Learner	44	Non-binary	Germany	Technician	Public Policy	$50k–$70k	Bachelor's
13	Working Professional Considering Graduate Degrees	43	Male	UK	Marketing Specialist	Cybersecurity	$90k–$120k	Associate
14	Career Changer / Adult Learner	54	Female	India	Accountant	MBA	$50k–$70k	Master's
15	Working Professional Considering Graduate Degrees	29	Male	UK	Sales Manager	Healthcare Administration	$120k+	Some College
16	Career Changer / Adult Learner	52	Female	Australia	Sales Manager	MBA	$50k–$70k	Master's
17	Career Changer / Adult Learner	53	Prefer not to say	US	Technician	UX Design	$50k–$70k	Bachelor's
18	Career Changer / Adult Learner	47	Prefer not to say	Canada	HR Coordinator	MBA	$30k–$50k	Associate
19	Career Changer / Adult Learner	29	Prefer not to say	India	Nurse	MBA	$70k–$90k	Some College
20	Working Professional Considering Graduate Degrees	43	Female	Germany	Accountant	Finance	$30k–$50k	Bachelor's
21	Working Professional Considering Graduate Degrees	42	Male	Australia	Accountant	Data Science	$30k–$50k	Bachelor's
22	Career Changer / Adult Learner	34	Non-binary	India	Nurse	Data Science	$90k–$120k	Associate
23	Career Changer / Adult Learner	48	Non-binary	Canada	Nurse	Healthcare Administration	$50k–$70k	Bachelor's
24	Career Changer / Adult Learner	53	Female	Germany	Nurse	MBA	$120k+	Bachelor's
25	Working Professional Considering Graduate Degrees	48	Female	US	Teacher	UX Design	$120k+	Master's
26	Working Professional Considering Graduate Degrees	32	Male	Australia	Teacher	AI & Machine Learning	$70k–$90k	Master's
27	Working Professional Considering Graduate Degrees	40	Prefer not to say	UK	HR Coordinator	MBA	$50k–$70k	Some College
28	Career Changer / Adult Learner	30	Male	Australia	Sales Manager	Public Policy	$30k–$50k	Bachelor's
29	Career Changer / Adult Learner	48	Male	Germany	Sales Manager	Public Policy	$30k–$50k	Some College
30	Working Professional Considering Graduate Degrees	41	Male	Germany	Accountant	Healthcare Administration	$30k–$50k	Master's
31	Working Professional Considering Graduate Degrees	27	Male	Australia	Marketing Specialist	Cybersecurity	$120k+	Bachelor's
32	Working Professional Considering Graduate Degrees	28	Male	India	Sales Manager	UX Design	$50k–$70k	Bachelor's
33	Working Professional Considering Graduate Degrees	39	Prefer not to say	India	HR Coordinator	Finance	$50k–$70k	Master's
34	Working Professional Considering Graduate Degrees	39	Male	US	HR Coordinator	MBA	$90k–$120k	Associate
35	Working Professional Considering Graduate Degrees	46	Non-binary	Germany	Marketing Specialist	Finance	$120k+	Master's
36	Working Professional Considering Graduate Degrees	25	Prefer not to say	Canada	Sales Manager	Data Science	$30k–$50k	Some College
37	Career Changer / Adult Learner	50	Prefer not to say	US	Technician	Finance	$70k–$90k	Associate
38	Working Professional Considering Graduate Degrees	27	Male	Germany	Technician	MBA	$70k–$90k	Master's
39	Career Changer / Adult Learner	40	Non-binary	India	Software Engineer	AI & Machine Learning	$50k–$70k	Bachelor's
40	Career Changer / Adult Learner	49	Non-binary	UK	Nurse	Finance	$50k–$70k	Associate
41	Working Professional Considering Graduate Degrees	47	Non-binary	UK	Technician	Healthcare Administration	$120k+	Some College
42	Career Changer / Adult Learner	42	Non-binary	Canada	Accountant	Cybersecurity	$120k+	Bachelor's
43	Career Changer / Adult Learner	25	Female	Germany	Marketing Specialist	Finance	$50k–$70k	Master's
44	Career Changer / Adult Learner	52	Female	Canada	Sales Manager	MBA	$50k–$70k	Some College
45	Career Changer / Adult Learner	40	Female	UK	Sales Manager	Public Policy	$120k+	Bachelor's
46	Career Changer / Adult Learner	46	Non-binary	US	Teacher	Cybersecurity	$90k–$120k	Some College
47	Working Professional Considering Graduate Degrees	55	Male	India	Marketing Specialist	MBA	$90k–$120k	Master's
48	Working Professional Considering Graduate Degrees	43	Male	Canada	HR Coordinator	Data Science	$90k–$120k	Some College
49	Working Professional Considering Graduate Degrees	46	Non-binary	Canada	Technician	Public Policy	$50k–$70k	Master's
50	Career Changer / Adult Learner	37	Non-binary	Canada	Marketing Specialist	Public Policy	$30k–$50k	Bachelor's
51	Working Professional Considering Graduate Degrees	54	Female	India	Sales Manager	Cybersecurity	$30k–$50k	Bachelor's
52	Career Changer / Adult Learner	52	Male	Canada	Nurse	Data Science	$30k–$50k	Bachelor's
53	Working Professional Considering Graduate Degrees	31	Male	US	Teacher	MBA	$120k+	Some College
54	Working Professional Considering Graduate Degrees	40	Prefer not to say	Canada	Software Engineer	Finance	$50k–$70k	Master's
55	Career Changer / Adult Learner	51	Prefer not to say	Canada	Marketing Specialist	Cybersecurity	$30k–$50k	Bachelor's
56	Career Changer / Adult Learner	32	Male	Canada	HR Coordinator	MBA	$70k–$90k	Bachelor's
57	Career Changer / Adult Learner	49	Male	US	Teacher	Public Policy	$30k–$50k	Associate
58	Career Changer / Adult Learner	30	Male	Canada	Marketing Specialist	MBA	$70k–$90k	Associate
59	Career Changer / Adult Learner	37	Non-binary	UK	Accountant	UX Design	$90k–$120k	Some College
60	Career Changer / Adult Learner	49	Prefer not to say	India	Nurse	Public Policy	$90k–$120k	Master's
61	Career Changer / Adult Learner	48	Male	UK	Technician	AI & Machine Learning	$50k–$70k	Bachelor's
62	Working Professional Considering Graduate Degrees	36	Female	Australia	Nurse	AI & Machine Learning	$120k+	Some College
63	Working Professional Considering Graduate Degrees	43	Female	UK	Marketing Specialist	MBA	$50k–$70k	Associate
64	Working Professional Considering Graduate Degrees	40	Female	Germany	HR Coordinator	MBA	$120k+	Some College
65	Working Professional Considering Graduate Degrees	47	Female	India	Software Engineer	Public Policy	$70k–$90k	Associate
66	Career Changer / Adult Learner	49	Non-binary	Germany	Sales Manager	Public Policy	$50k–$70k	Associate
67	Working Professional Considering Graduate Degrees	54	Female	UK	Technician	Cybersecurity	$50k–$70k	Associate
68	Career Changer / Adult Learner	53	Male	India	Accountant	UX Design	$90k–$120k	Some College
69	Career Changer / Adult Learner	25	Female	US	Teacher	Healthcare Administration	$70k–$90k	Associate
70	Working Professional Considering Graduate Degrees	35	Female	Germany	Accountant	Public Policy	$120k+	Master's
71	Working Professional Considering Graduate Degrees	47	Prefer not to say	US	Accountant	MBA	$90k–$120k	Some College
